year,yogurt,fluid milk,american cheese,italian cheese,other cheese,frozen dairy,evaporated milk,dry milk,cream products
1970,0.00290629,0.952930656,0.165493814,0.039641404,0.025681845,0.112378016,0.181155888,0.138962941,0.002544662
1971,0.003820707,0.955613468,0.172495957,0.043982335,0.026923439,0.111171456,0.188052505,0.136631614,0.002425405
1972,0.004536029,0.948281153,0.179987333,0.049723207,0.031674477,0.110774102,0.197862787,0.118843229,0.002433618
1973,0.00482575,0.9313391,0.183355574,0.053200402,0.033255361,0.1107263,0.202286618,0.133848063,0.002385734
1974,0.005111643,0.90157639,0.197021505,0.056581955,0.034339009,0.109650621,0.213987099,0.106689796,0.002246418
1975,0.00693914,0.904300414,0.189445008,0.06136944,0.032428101,0.112409267,0.210618457,0.085530673,0.002177751
1976,0.007520435,0.898655733,0.205924156,0.067697583,0.034476301,0.108162668,0.22285774,0.092452802,0.00225283
1977,0.008245732,0.888391142,0.214088127,0.070823756,0.03388065,0.107700144,0.231662758,0.089810853,0.002275208
1978,0.008634095,0.875877062,0.220929449,0.077045144,0.03545837,0.10635139,0.239993723,0.086084505,0.00225486
1979,0.008617677,0.864172238,0.222309022,0.080428845,0.035886765,0.103044321,0.24051072,0.090479323,0.002251668
1980,0.008826295,0.846618664,0.222355833,0.083818321,0.037346883,0.102911324,0.242353989,0.083485717,0.002256826
1981,0.008586983,0.833269749,0.23373897,0.084008099,0.038559928,0.103310841,0.250370605,0.064610271,0.002310275
1982,0.009112293,0.811702877,0.264517412,0.091097177,0.041045232,0.103309479,0.269743581,0.064082883,0.002304058
1983,0.011136857,0.810957266,0.272277262,0.099739772,0.038514418,0.106197445,0.278477144,0.067641373,0.002411339
1984,0.012532669,0.814196069,0.279168359,0.109143942,0.041037027,0.107066803,0.287328461,0.074788275,0.002597702
1985,0.013900089,0.82428664,0.286847514,0.121757109,0.041274377,0.110519742,0.297525394,0.069652047,0.002786388
1986,0.014653067,0.821129019,0.285549025,0.131539419,0.040918826,0.110874948,0.302711952,0.076420591,0.00291228
1987,0.015597847,0.809819409,0.295022485,0.144390054,0.040723207,0.11135234,0.313360496,0.077576933,0.002882036
1988,0.016550485,0.808946382,0.272074368,0.153455337,0.038994522,0.109209319,0.307095145,0.080953358,0.002860759
1989,0.013007479,0.805117221,0.261163271,0.159573739,0.040891879,0.115296016,0.306639987,0.069287189,0.002874924
1990,0.013852118,0.795168055,0.262512772,0.167631887,0.043186431,0.116215401,0.309650929,0.089010125,0.002743004
1991,0.014647703,0.789128302,0.260594524,0.174201653,0.043857798,0.121369422,0.309419149,0.076547909,0.002765033
1992,0.015839385,0.778816364,0.265592266,0.185085174,0.041808192,0.119051454,0.315528577,0.085612168,0.002852949
1993,0.017422188,0.760928146,0.26627452,0.181163296,0.046186926,0.121413644,0.316335484,0.072392609,0.002846777
1994,0.018639868,0.756592347,0.268345526,0.188690138,0.044848517,0.12327132,0.324651516,0.097248847,0.002790583
1995,0.021774068,0.748763941,0.273489582,0.188587726,0.048697097,0.120899654,0.332106743,0.096664624,0.002823317
1996,0.02076719,0.744175148,0.276337998,0.194863561,0.041606387,0.11393197,0.336200972,0.10540681,0.002901639
1997,0.02033818,0.7308996,0.27841823,0.200212357,0.040928666,0.11412366,0.339569201,0.093263287,0.002885237
1998,0.020931629,0.718601752,0.28168053,0.205960784,0.037729205,0.116766684,0.345202288,0.09150862,0.002886907
1999,0.021680491,0.715504084,0.297814189,0.212404648,0.038969057,0.115188503,0.355980166,0.080945181,0.003060262
2000,0.022934381,0.703119411,0.29701778,0.219615024,0.042431027,0.112891952,0.358287554,0.075233793,0.003123397
2001,0.024753904,0.69046186,0.300166997,0.226457296,0.041369112,0.108355754,0.360392502,0.085708108,0.003512763
2002,0.028280499,0.688204842,0.299770857,0.228144711,0.044472323,0.107752021,0.358497963,0.089502372,0.000317533
2003,0.030392815,0.679804926,0.292652118,0.231159731,0.047909317,0.108101044,0.362744229,0.088912087,0.000331907
2004,0.032531272,0.671992795,0.303553749,0.237044703,0.048030406,0.101827423,0.369032682,0.119864397,0.000316644
2005,0.036411236,0.667905637,0.298546059,0.245820307,0.048681315,0.102185198,0.366555557,0.104223829,0.000316895
2006,0.038936224,0.66782694,0.307937175,0.253547943,0.04726094,0.103849291,0.376601138,0.076890238,0.000318012
2007,0.040589645,0.66020269,0.301174009,0.263158782,0.050881201,0.10270666,0.378312561,0.076699114,0.000291232
2008,0.041306256,0.66497517,0.308097767,0.255886597,0.045706554,0.099819832,0.376852256,0.079932504,0.000293052
2009,0.044027977,0.664532704,0.3124893,0.257895496,0.041201427,0.095603887,0.380774692,0.108132311,0.000318651
2010,0.047594715,0.658706618,0.310495181,0.265374926,0.043730918,0.096205977,0.385089351,0.08883571,0.00031558
2011,0.048275286,0.641914216,0.303127603,0.272028347,0.050639682,0.09396104,0.385077337,0.0853189,0.000314681
2012,0.049563998,0.637890415,0.307286222,0.270825565,0.049678273,0.095533546,0.392706309,0.09950219,0.000306587
2013,0.052562016,0.625119825,0.309557409,0.271456957,0.049072533,0.097486271,0.389391253,0.083601832,0.000301566
