year,oranges,tangerines,grapefruit,lemons,limes,apples,apricots,avocados,bananas,blueberries,cantaloupe,cherries,cranberries,grapes,honeydew melons,kiwi,mangoes,peaches,pears,pineapple,papayas,plums,raspberry,strawberries,watermelon,canned,frozen,dried,juice
1970,0.03502569,0.002370124,0.0101156,0.000969719,0.00112852,0.122688796,0.000453343,0.001358937,0.061164265,0,0.003381846,0.001415394,0.001314144,0.012746385,0.000138357,0,0.000256485,0.02064075,0.008235726,0.000598047,0.000203725,0.005826192,0,0.006855158,0.031995755,0.135133797,0.011655824,0.032685984,0.203530677
1971,0.034083784,0.002479101,0.010526232,0.001062327,0.001086048,0.118299548,0.000511859,0.002496996,0.063546177,0,0.003204131,0.001899107,0.00141785,0.011182519,0.000141545,0,0.000298185,0.020068784,0.010990479,0.000550176,0.000167083,0.005063932,0,0.007235401,0.030939088,0.138119341,0.011871807,0.030626553,0.215734018
1972,0.031357459,0.002181078,0.010545607,0.000879307,0.001354778,0.111643809,0.000315824,0.001300365,0.063070722,0,0.003266185,0.001080427,0.0011264,0.011080546,0.000158734,0,0.000293933,0.013778725,0.009883447,0.00066247,0.000190799,0.004279187,0,0.006587723,0.02921023,0.125009675,0.011423279,0.024440858,0.219531737
1973,0.031271067,0.002193865,0.010551473,0.00091381,0.00137519,0.115870333,0.000346983,0.002139122,0.063913064,0,0.002835696,0.002075875,0.001379032,0.01267694,0.000169331,0,0.000385074,0.015117758,0.011098218,0.000776032,0.000241935,0.004517241,0,0.006247201,0.030221463,0.128860049,0.011929117,0.032316512,0.22024051
1974,0.031249114,0.002364197,0.010109423,0.000947535,0.001289781,0.117863148,0.000240501,0.003744558,0.065071153,0,0.002478898,0.001637879,0.001091819,0.013804021,0.000153654,0,0.000441597,0.015380067,0.01074727,0.000766175,0.000280902,0.005934847,0,0.007221805,0.0268512,0.126800626,0.008936763,0.030836763,0.225962977
1975,0.034412995,0.002717347,0.010290929,0.000919947,0.001410073,0.140113708,0.000306938,0.002201865,0.062078181,0,0.002436976,0.001974892,0.001057308,0.015913319,0.000162045,0,0.000565476,0.017671813,0.011847179,0.000876654,0.000282557,0.005258123,0,0.007105191,0.027139238,0.123637955,0.008022749,0.032476888,0.247119457
1976,0.031949532,0.002498693,0.011402933,0.000892632,0.001589496,0.122761185,0.000365541,0.003570732,0.067755123,0,0.00243446,0.002332059,0.001370594,0.015565896,0.00015575,0,0.000655832,0.018218998,0.012210563,0.000978575,0.000349049,0.004942976,0,0.006546678,0.029958882,0.124041741,0.009827528,0.031707915,0.253616537
1977,0.02913298,0.002788758,0.009514143,0.000994389,0.001515417,0.118804021,0.000339395,0.003409431,0.067601179,0,0.00266095,0.001793232,0.001353545,0.015594949,0.000172217,0,0.000510702,0.018068892,0.010251366,0.001159821,0.000431765,0.00610474,0,0.007559861,0.029939171,0.130195611,0.009849844,0.030915992,0.262467651
1978,0.029133094,0.002202426,0.010275109,0.001005474,0.001420916,0.129124625,0.000272146,0.003817804,0.071045206,0,0.003175118,0.001512272,0.001332681,0.013595455,0.000237424,0,0.000709751,0.021604474,0.009893551,0.001226357,0.000435256,0.00606889,0,0.008390218,0.02821231,0.130482044,0.010250503,0.027820054,0.248298786
1979,0.024911428,0.002124655,0.008978707,0.000900769,0.001749664,0.123424874,0.000300984,0.002568469,0.073819721,0,0.002951338,0.001920482,0.000985279,0.015210702,0.000242282,0,0.000714692,0.023630947,0.009887522,0.001240636,0.000294886,0.006389754,0,0.007517524,0.027039252,0.132381903,0.008119436,0.029642249,0.252126285
1980,0.03095089,0.002326406,0.008984969,0.000903413,0.002319095,0.138169296,0.000385787,0.006308238,0.073091424,0.000685665,0.00281987,0.001950435,0.001051104,0.017501704,0.000216173,0,0.000856792,0.025109753,0.01125584,0.001271148,0.000355965,0.006057204,0,0.007767959,0.025269729,0.131891572,0.008503478,0.028984577,0.273215253
1981,0.026794011,0.002150239,0.008191485,0.000946254,0.002708075,0.121106119,0.000365462,0.00469261,0.075605315,0.000679464,0.002951354,0.001505803,0.001532563,0.017846451,0.00023485,0,0.000689008,0.02434148,0.01217587,0.001317149,0.000373591,0.006694546,0,0.008590173,0.027647278,0.111913446,0.007860301,0.030970924,0.268389372
1982,0.025343772,0.002193741,0.008866916,0.000973139,0.002477212,0.126014544,0.000306869,0.005583717,0.079322614,0.001003019,0.003700067,0.001477913,0.001562169,0.025173458,0.000279426,0.00032222,0.000993726,0.018930557,0.012273909,0.00141209,0.000265189,0.004187582,0,0.009363595,0.02960728,0.119914137,0.008815119,0.031892087,0.259447576
1983,0.032588977,0.002383573,0.009648802,0.001092668,0.00333182,0.131201772,0.000297779,0.006633962,0.074797841,0.000865447,0.003153683,0.002072953,0.001005913,0.024605074,0.00026973,0.000319306,0.00148016,0.019245513,0.012887087,0.001432897,0.000310162,0.005579187,0,0.009176407,0.026841399,0.107394894,0.008737494,0.03462681,0.316928883
1984,0.025713269,0.002198087,0.007364017,0.001015472,0.002924426,0.13180552,0.000477774,0.005531223,0.078055984,0.001535289,0.003697279,0.001997265,0.000925774,0.026776847,0.000277285,0.000456931,0.001478702,0.023752767,0.010950562,0.001284115,0.000450636,0.007268462,0,0.011716526,0.034217946,0.106109675,0.009306051,0.039364275,0.275146082
1985,0.025132191,0.001601207,0.006780174,0.001082899,0.003597963,0.123992532,0.0006126,0.004555598,0.082635527,0.001590337,0.004085628,0.001203943,0.000966816,0.030112877,0.000319196,0.000590644,0.001461387,0.019470567,0.012010854,0.001254062,0.000315973,0.005621606,0,0.011803291,0.03203058,0.111323569,0.010132548,0.037344572,0.286575909
1986,0.029110101,0.001690073,0.00755092,0.001163895,0.003751662,0.128151149,0.000363895,0.007124847,0.090875706,0.001222152,0.004550124,0.001390468,0.001043468,0.031238563,0.000371753,0.000667734,0.00166775,0.020687611,0.012817362,0.001472591,0.000304138,0.005091886,0,0.011433963,0.030255946,0.113382813,0.011906018,0.034740327,0.287968533
1987,0.027766951,0.001887351,0.007813019,0.001168132,0.003276843,0.149622407,0.000294679,0.004804758,0.088040766,0.001216639,0.004411918,0.002038847,0.000783548,0.031006583,0.000334121,0.000917696,0.001906771,0.021449047,0.015143328,0.001383809,0.000322769,0.007526385,0,0.012312555,0.030806536,0.113709621,0.012242744,0.038993497,0.315911767
1988,0.030124577,0.001877678,0.008235156,0.001163999,0.003602509,0.142502659,0.000610689,0.004745335,0.085471811,0.001588751,0.003790151,0.001473203,0.000541193,0.033880661,0.000358891,0.001066047,0.001286535,0.023944679,0.013907824,0.001501821,0.000269828,0.006804631,0,0.013179086,0.032138136,0.111996283,0.012047447,0.041610224,0.290940898
1989,0.026368866,0.001815633,0.008131403,0.00112476,0.004474205,0.152545098,0.000342653,0.00326593,0.086968979,0.00146455,0.004998797,0.001531496,0.000495938,0.034948588,0.000380773,0.001552666,0.001748824,0.020772655,0.013856168,0.001678028,0.000241509,0.005588683,0,0.012860073,0.032322899,0.116182152,0.014546964,0.041454425,0.306644474
1990,0.02679395,0.001386896,0.005449214,0.001225354,0.00426844,0.141042562,0.00059974,0.004289662,0.085666632,0.000682507,0.004450672,0.001112732,0.000386708,0.034509277,0.000314809,0.001561611,0.001834806,0.019649274,0.013949836,0.001751856,0.00030428,0.006119136,0,0.012801605,0.031504216,0.114251221,0.013858779,0.037615152,0.259799517
1991,0.018264653,0.001459065,0.007212597,0.001223424,0.004867195,0.130510152,0.000484465,0.004346411,0.088087537,0.00106264,0.004168401,0.001133674,0.000502165,0.032066499,0.000289492,0.001046687,0.002918837,0.022737327,0.013632706,0.001633701,0.000292142,0.005614708,0,0.014103667,0.030199206,0.105133257,0.013009439,0.037265684,0.291775439
1992,0.02780995,0.002040458,0.00728883,0.001189995,0.006611175,0.137909415,0.000575649,0.006572998,0.095366491,0.001275465,0.004087463,0.001504435,0.000546998,0.031430927,0.000320788,0.001666679,0.002305943,0.021251283,0.013527323,0.001703453,0.000410039,0.007002582,0.000263206,0.014175474,0.034889266,0.123282273,0.014045494,0.034946759,0.276108702
1993,0.030628228,0.001966943,0.007624123,0.001240968,0.006156974,0.136850411,0.000491303,0.00404249,0.093541967,0.001675296,0.004152571,0.001218698,0.000517993,0.030787484,0.000264956,0.001682141,0.003051697,0.020728973,0.014511985,0.00174176,0.000482718,0.005029296,0.000360616,0.014278988,0.033662878,0.11071488,0.014685397,0.03835336,0.319154415
1994,0.028014983,0.002217029,0.007470766,0.001250293,0.00626876,0.139400485,0.000559415,0.004114275,0.097687223,0.001688895,0.004040525,0.001484065,0.000557423,0.030996989,0.000305576,0.001662508,0.003319392,0.019213787,0.014896739,0.001724691,0.000518256,0.006337602,0.000482261,0.015981346,0.035593577,0.110865366,0.015557328,0.038108065,0.314684277
1995,0.025609157,0.002105409,0.007380568,0.001335586,0.007645732,0.134463265,0.00037994,0.004791067,0.095238407,0.002044175,0.004326747,0.00081614,0.000603717,0.032862418,0.000289253,0.001653745,0.003836339,0.01888184,0.014528762,0.001631136,0.000634855,0.003677597,0.000321018,0.01620959,0.035957954,0.092725303,0.015857862,0.035058988,0.298855536
1996,0.02724474,0.002281968,0.00719316,0.001346594,0.007371561,0.134378403,0.000336028,0.004816606,0.097074865,0.001727422,0.00495648,0.001146546,0.000588238,0.029651191,0.000311935,0.001487089,0.004587255,0.015522512,0.013221396,0.001620462,0.000936028,0.005661262,0.000289366,0.01706074,0.039350164,0.102159265,0.014598993,0.035542707,0.319866023
