year,beef,veal,pork,lamb,chicken,turkey,eggs
1970,2.670789534,0.053315845,1.433167225,0.065412698,0.980609543,0.175765998,0.594034764
1971,2.655935927,0.048899701,1.576757408,0.06403325,0.979237718,0.182206985,0.596205391
1972,2.698784702,0.041687079,1.432046668,0.066868604,1.011598077,0.19492677,0.583146318
1973,2.547726784,0.032640006,1.284879926,0.053829507,0.970784306,0.18262355,0.555203003
1974,2.708646139,0.042897815,1.397858366,0.046211851,0.967330052,0.188366582,0.544991028
1975,2.789479191,0.074497762,1.144333455,0.040938548,0.941256344,0.17935643,0.531621516
1976,2.978232248,0.07088693,1.210812118,0.036914053,1.022434053,0.192983565,0.51993923
1977,2.89658307,0.068718998,1.258164094,0.034029532,1.03775701,0.189948422,0.514757948
1978,2.756774548,0.052440213,1.26006268,0.031226269,1.085486211,0.189276001,0.523629541
1979,2.466329162,0.036286547,1.445499681,0.029934183,1.176442493,0.200623415,0.533460356
1980,2.417584293,0.032976793,1.550602643,0.030954987,1.170724748,0.222389104,0.523216393
1981,2.441267399,0.035095329,1.486217707,0.031880096,1.205647582,0.229433761,0.510421486
1982,2.432125551,0.035873622,1.335441575,0.033482714,1.213010617,0.229380399,0.510008153
1983,2.484690148,0.035540335,1.411535066,0.03348194,1.216454794,0.239101857,0.502668282
1984,2.476801712,0.03848488,1.405942983,0.034052122,1.264172359,0.239423179,0.502615383
1985,2.501092648,0.040008732,1.419948131,0.032820598,1.304164844,0.251362754,0.493206499
1986,2.4944915,0.040907867,1.34545777,0.0316247,1.321297561,0.279618784,0.490196515
1987,2.333028507,0.033176265,1.356952269,0.030022838,1.409423916,0.320065466,0.490869643
1988,2.300062897,0.029941529,1.452482498,0.031853526,1.415443328,0.340508698,0.477038914
1989,2.185242157,0.025824832,1.440786698,0.031539887,1.447779404,0.360108087,0.458759735
1990,2.143357105,0.023310288,1.38048792,0.03205806,1.51763864,0.380367926,0.453284934
1991,2.109618795,0.021522934,1.392032782,0.031700149,1.578053787,0.386102592,0.450908131
1992,2.093786604,0.021760454,1.462805814,0.030486101,1.66188632,0.385098843,0.452378759
1993,2.046152073,0.019689481,1.442914187,0.029625847,1.722261178,0.381113432,0.452411224
1994,2.110121331,0.019723782,1.457864125,0.026543644,1.744094651,0.382500739,0.455203975
1995,2.131258357,0.021442129,1.439557196,0.02617212,1.724486715,0.382261401,0.449725328
1996,2.147479047,0.025114892,1.346040834,0.024889907,1.744914072,0.394372358,0.451897755
1997,2.100861151,0.021861951,1.331626318,0.024609312,1.789886444,0.374634097,0.453658086
1998,2.132116025,0.017195832,1.434067037,0.026301323,1.804150071,0.382959114,0.471463555
1999,2.158011138,0.01507551,1.46845969,0.025898469,1.916669539,0.380285159,0.4900015
2000,2.165200227,0.014276055,1.421898208,0.025429631,1.940297814,0.375741426,0.49324619
2001,2.116974482,0.012810969,1.397590143,0.02602683,1.93211106,0.379910459,0.496299731
2002,2.164120771,0.01268665,1.434643657,0.026757645,2.032161735,0.384143475,0.500941741
2003,2.077953465,0.012565447,1.442692015,0.025508807,2.059021151,0.378185587,0.500047594
2004,2.113899921,0.010806547,1.426195414,0.025648444,2.122330082,0.370094756,0.506350483
2005,2.09565978,0.009920792,1.387250359,0.024171161,2.165433606,0.361996697,0.498223091
2006,2.10568922,0.009270273,1.369175654,0.023982394,2.178141902,0.366452499,0.497524963
2007,2.083796746,0.008572798,1.40543078,0.025779561,2.14348239,0.379591676,0.48516956
2008,1.992427667,0.00880577,1.367719868,0.022746155,2.101889379,0.381585858,0.47780001
2009,1.949191056,0.008572756,1.385910532,0.022224175,2.006346307,0.366683094,0.478585935
2010,1.902789749,0.008658975,1.320290307,0.020645673,2.076077187,0.355442501,0.478316044
2011,1.826093284,0.007883686,1.260874769,0.019064674,2.088723327,0.347812814,0.470464041
2012,1.829491293,0.006999198,1.267107451,0.019255803,2.026962473,0.346538286,0.481785561
2013,1.796480554,0.006723317,1.293252875,0.020656693,2.063314543,0.345386602,0.48978404
