year,peanuts,almonds,hazelnuts,pecans,walnuts,macadamia,pistacios,other nuts,coconuts
1970,0.446733577,0.02210088,0.00356213,0.028939272,0.023551265,0.002233094,0.002543126,0.038080324,0.034859836
1971,0.440066043,0.023877321,0.004200327,0.031773618,0.027476607,0.00241032,0.003353935,0.038264037,0.038568329
1972,0.462280522,0.023626798,0.004583921,0.030890971,0.02622393,0.002161446,0.002327686,0.045917236,0.041535123
1973,0.488859004,0.016966986,0.006827794,0.030646739,0.026705515,0.001979292,0.004407498,0.034260765,0.035601534
1974,0.470088099,0.017196482,0.002882484,0.02811964,0.028343619,0.002648032,0.003274585,0.02735933,0.03263474
1975,0.484575196,0.022823631,0.005307916,0.028014278,0.034290476,0.002918276,0.002439571,0.038680908,0.03263474
1976,0.456829278,0.02771585,0.004667018,0.023900009,0.03494059,0.003012941,0.002478007,0.03513057,0.033376438
1977,0.460359598,0.029427333,0.004302756,0.026562619,0.033093609,0.003092728,0.002731373,0.019408663,0.03263474
1978,0.485771093,0.025954911,0.005167652,0.027871061,0.025336519,0.003262814,0.002670214,0.028427998,0.034859836
1979,0.493329828,0.024234992,0.002492802,0.033324519,0.028996736,0.004101942,0.00282603,0.026078109,0.029667945
1980,0.399663342,0.027477235,0.003193213,0.030616433,0.033849122,0.00507876,0.00332354,0.021945638,0.028926247
1981,0.455427976,0.032965957,0.003087032,0.032190714,0.035390363,0.005019097,0.002811629,0.022377385,0.029667945
1982,0.488062429,0.038702512,0.004533555,0.034703165,0.031965128,0.005649005,0.003604861,0.031301098,0.029667945
1983,0.478709614,0.038114862,0.003281152,0.034193127,0.035177542,0.005554574,0.005217807,0.035262419,0.031151342
1984,0.486195759,0.044451281,0.004182499,0.038266199,0.032620347,0.005839753,0.007573804,0.031976229,0.031151342
1985,0.511879623,0.053448942,0.004355481,0.03384762,0.032831961,0.006575702,0.008345467,0.030503382,0.031893041
1986,0.516535898,0.034687727,0.002216704,0.038487395,0.033298157,0.006846021,0.007665595,0.031791679,0.034118137
1987,0.51314757,0.038514188,0.004042296,0.038420349,0.031620067,0.006540169,0.006526037,0.028072019,0.043018521
1988,0.552510096,0.04239684,0.004685876,0.044339634,0.034160735,0.006810066,0.008442121,0.027133165,0.036343233
1989,0.560217585,0.040622351,0.0033252,0.032632151,0.030742655,0.008004973,0.005478693,0.034909874,0.034859836
1990,0.484912937,0.048683849,0.004678845,0.033670738,0.030940085,0.008239742,0.007627777,0.034275038,0.035601534
1991,0.523512871,0.040199371,0.003914292,0.031706005,0.030938574,0.007138548,0.005799937,0.029761919,0.034118137
1992,0.497697274,0.038966418,0.005333891,0.028130833,0.031669166,0.007170442,0.00718012,0.039290019,0.036343233
1993,0.483426822,0.039174289,0.006561095,0.037424202,0.025637802,0.00723789,0.00890123,0.037698255,0.036343233
1994,0.459496364,0.034951646,0.004807244,0.026736272,0.030202956,0.007743818,0.009396936,0.033810915,0.037084932
1995,0.450911336,0.031675366,0.006250285,0.036347326,0.026170597,0.007522254,0.008205552,0.028496159,0.037084932
1996,0.453930076,0.038252353,0.001075095,0.0346038,0.022085887,0.007929312,0.005739526,0.035084349,0.039310027
1997,0.464064564,0.037128662,0.004557929,0.032269531,0.024762885,0.0088144,0.009476702,0.036089124,0.042276822
1998,0.470521761,0.039189256,0.003677818,0.033770855,0.025697359,0.00925305,0.010446471,0.035345944,0.045985315
1999,0.482004768,0.064506088,0.006262984,0.028935832,0.034544207,0.00945016,0.012305092,0.035949333,0.043018521
2000,0.465435284,0.053911025,0.004251199,0.033482331,0.029934154,0.008478735,0.014678129,0.032425789,0.045985315
2001,0.468725006,0.055521852,0.00599639,0.032171413,0.028492125,0.009089294,0.014001449,0.050123347,0.045985315
2002,0.466360053,0.07194589,0.005189608,0.03387586,0.035775219,0.008040022,0.014983241,0.056522569,0.044501918
2003,0.507393051,0.075373163,0.003893724,0.032569401,0.034299837,0.009472949,0.013238059,0.069108069,0.043892353
2004,0.531614514,0.060007791,0.004691037,0.035200869,0.035851672,0.011615498,0.018334272,0.073944281,0.040037057
2005,0.531080149,0.040780582,0.001485079,0.031740118,0.028426726,0.009899223,0.010739774,0.059881887,0.042541943
2006,0.519559691,0.066701344,0.005098707,0.031741046,0.036684093,0.009948343,0.011825236,0.065487503,0.041786982
2007,0.502232978,0.079486402,0.003328713,0.031578286,0.032243471,0.008185179,0.015838694,0.072744959,0.043321514
2008,0.50992249,0.090729471,0.002990009,0.035173627,0.032235241,0.008309105,0.007051926,0.064929651,0.039401975
2009,0.525718755,0.091618261,0.003039549,0.034006094,0.037545711,0.00763683,0.012342739,0.068353408,0.043828669
2010,0.55311386,0.105284463,0.003169396,0.037757215,0.030501091,0.008275903,0.012038573,0.063580188,0.045795665
2011,0.551088475,0.118551966,0.003683068,0.025981815,0.028544003,0.009049129,0.01719385,0.052923975,0.050471867
2012,0.5320083,0.131147478,0.003906441,0.030532447,0.031762421,0.007961769,0.018534062,0.057914676,0.057707121
2013,0.468023876,0.131344519,0.003386954,0.024557048,0.031727073,0.007584008,0.012456887,0.062087558,0.052943043
