year,sugar,corn sweetener,syrup,honey
1970,17.68562071,2.76187795,0.111344386,0.224871996
1971,17.74814429,2.89672112,0.112101278,0.200488823
1972,17.77893943,3.085283756,0.110907609,0.223948056
1973,17.52113445,3.432268178,0.111966635,0.200694912
1974,16.6265361,3.677104528,0.090014658,0.157002311
1975,15.49620939,4.047164686,0.089131487,0.223865131
1976,16.23023025,4.380960818,0.090341776,0.205322217
1977,16.3716713,4.739024175,0.089437697,0.203267494
1978,15.89261986,4.934114131,0.090506293,0.241350116
1979,15.52621226,5.525994574,0.087523801,0.232733744
1980,14.53524432,6.141691247,0.098292311,0.184539882
1981,13.80034266,6.803708716,0.089548097,0.18742806
1982,12.80640061,7.427147239,0.088691137,0.200677193
1983,12.21778889,8.273748154,0.090181799,0.221143158
1984,11.58446514,9.352778329,0.089024201,0.204612656
1985,10.90259153,10.80304071,0.090261114,0.196095219
1986,10.43641629,10.92155508,0.092830042,0.224963538
1987,10.84160034,11.32729975,0.100454188,0.191498302
1988,10.78725695,11.62858474,0.097802038,0.18341736
1989,10.90668735,11.22208827,0.09485892,0.148787099
1990,11.18895218,11.61512849,0.094095509,0.154291476
1991,11.04957156,11.81338322,0.093677527,0.163083353
1992,11.16126331,12.25358675,0.034800922,0.165260011
1993,11.09201935,12.84478911,0.03410364,0.17673076
1994,11.18718299,13.18579786,0.043674485,0.213565998
1995,11.28329641,13.53663661,0.062980812,0.201671157
1996,11.30110723,13.53172433,0.156776246,0.217110487
1997,11.2760918,14.20369452,0.133590278,0.212123974
1998,11.2850569,14.38095761,0.130790619,0.210006858
1999,11.52137176,14.52817784,0.12426881,0.236377887
2000,11.38852847,14.19038234,0.133432707,0.248793008
2001,11.20287455,14.06552911,0.158055939,0.210332153
2002,10.98515462,14.10920066,0.151360795,0.237926711
2003,10.57585143,13.68692525,0.159510387,0.224420494
2004,10.69457629,13.64062052,0.146863239,0.198617003
2005,10.94252815,13.4386801,0.142384358,0.235138139
2006,10.79568636,12.9734961,0.14723026,0.261189415
2007,10.62351297,12.60028424,0.138826643,0.208744243
2008,11.3032376,11.94679282,0.136902758,0.221470215
2009,11.01264415,11.34954562,0.131575637,0.204938941
2010,11.45606803,11.10226474,0.149828146,0.231400332
2011,11.44876517,10.73490939,0.147013985,0.242296445
2012,11.57641584,10.59544238,0.147762799,0.240619013
2013,11.80330203,10.18910337,0.158417983,0.250880393
