year,lettuce,broccoli,spinach,collard greens,kale,mustard greens,turnip greens,tomatoes,carrots,pumpkins,sweet potatoes,potatoes,corn,lima beans,dry beans,dry peas lentils,other vegetables
1970,0.008074762,0.006938632,0.004966797,0,0,0,0,0.141234109,0.041575689,0,0.010937739,0.679613571,0.078460203,0.003204213,0.148764233,0.00084969,0.355889633
1971,0.008203917,0.0076875,0.005142886,0,0,0,0,0.146704292,0.043081651,0,0.009954608,0.650918429,0.080551167,0.002842023,0.161155741,0.000655925,0.39014245
1972,0.008282486,0.007702929,0.004964381,0,0,0,0,0.144966185,0.044276941,0,0.009811256,0.659372254,0.081380307,0.002952881,0.137211867,0.001007737,0.384540189
1973,0.008368158,0.008358476,0.00473523,0,0,0,0,0.137375359,0.048894706,0,0.0101691,0.638920432,0.0797399,0.003033355,0.177014307,0.002388757,0.398898765
1974,0.007749199,0.008456835,0.005285237,0,0,0,0,0.138802322,0.049039643,0,0.009895568,0.627458085,0.07490567,0.002833838,0.130277622,0.000837665,0.402162688
1975,0.00744472,0.009627774,0.004896176,0,0,0,0,0.14033304,0.043145323,0,0.010842183,0.651361586,0.068290992,0.002423873,0.161116161,0.00112669,0.400377664
1976,0.007507424,0.010543717,0.005132445,0,0,0,0,0.14806468,0.043130937,0,0.010877924,0.656056484,0.072791613,0.002259199,0.149877387,0.001398162,0.407492467
1977,0.006845882,0.011248953,0.005925974,0,0,0,0,0.143072501,0.03823877,0,0.009528309,0.640693839,0.079529479,0.001875946,0.158549044,0.000970197,0.418414776
1978,0.006956273,0.011305698,0.005473079,0,0,0,0,0.139825403,0.038880195,0,0.009907294,0.623818842,0.074440091,0.002154901,0.120800612,0.001213599,0.418011764
1979,0.00715074,0.012353209,0.006053525,0,0,0,0,0.145532575,0.041893187,0,0.010238292,0.629183422,0.07161934,0.002358636,0.14816191,0.002823411,0.420045154
1980,0.006550713,0.013706577,0.006644462,0,0,0,0,0.146305001,0.042511688,0,0.00886434,0.621638294,0.072927918,0.002226736,0.114988694,0.004329064,0.43498186
1981,0.006430113,0.015549919,0.007305421,0,0,0,0,0.137923391,0.0419923,0,0.009439902,0.61281403,0.068344582,0.002356905,0.131151771,0.00302741,0.435748186
1982,0.005474852,0.01714105,0.007433261,0,0,0,0,0.141519608,0.042461312,0,0.010896894,0.614609209,0.064984789,0.001557412,0.178895435,0.00214433,0.444580832
1983,0.005728812,0.017592781,0.00649303,0,0,0,0,0.145213235,0.042279475,0,0.009063355,0.637529763,0.066277381,0.001401484,0.150812908,0.002068509,0.434122068
1984,0.005617942,0.020645497,0.006623002,0,0,0,0,0.159197016,0.046747156,0,0.009764321,0.644382025,0.061200522,0.002116048,0.129786943,0.000673931,0.456807449
1985,0.027306881,0.022215161,0.008370355,0,0,0,0,0.154410801,0.042824821,0,0.010629849,0.638484729,0.069192484,0.001638543,0.167714984,0.000732202,0.434587166
1986,0.021056277,0.024010765,0.00731632,0,0,0,0,0.159003186,0.041990009,0,0.008612503,0.659542071,0.069599947,0.002066588,0.156258304,0.003049176,0.43183766
1987,0.021700689,0.026043612,0.006997465,0,0,0,0,0.161515179,0.051159899,0.000257926,0.008693746,0.651973734,0.062955179,0.001745497,0.131363918,0.001488782,0.452788391
1988,0.026417267,0.030604861,0.007513575,0,0,0,0,0.160105163,0.045933934,0.000325728,0.007943463,0.643576603,0.06273107,0.001413859,0.16683881,0.003147388,0.464919492
1989,0.028137327,0.029730177,0.007548477,0,0,0,0,0.171795523,0.050676222,0.000412519,0.007930705,0.660315125,0.058429812,0.001145956,0.131265534,0.00082184,0.478083051
